list_code,list_title,mapped_category,mapped_subcategory
CR-14-00-00-00,"Reentry after prison",Criminal Law,Parole/Probation
CR-15-00-00-00,"Prisoners' rights, services, and conditions",General Litigation,Civil Matter for Inmates
CR-16-00-00-00,"Being investigated for a crime",Criminal Law,Other
DI-00-00-00-00,"Disaster Relief",General Litigation,Other
DI-01-00-00-00,"Help for Farms after a Disaster",Business & Corporate,Agriculture/Farm
DI-02-00-00-00,"Public Benefits for individuals after a disaster",Administrative Law,General (Federal)
DI-02-01-00-00,"Local Public Benefits to assist people after a disaster (not FEMA)",Administrative Law,General (Local/Municipal)
DI-02-02-00-00,"FEMA 'Other Needs' assistance",Administrative Law,General (Federal)
DI-02-03-00-00,"Appealing FEMA benefits decision",Administrative Law,General (Federal)
DI-02-04-00-00,"Unemployment assistance after a disaster",Administrative Law,Unemployment
DI-02-05-00-00,"FEMA Buy-outs or Hazard Mitigation Grant Program ",Real Property,Eminent Domain
DI-03-00-00-00,"Finding Missing Persons after a Disaster",General Litigation,Other
DI-04-00-00-00,"Insurance Claims after a disaster",Consumer Law,Insurance
DI-05-00-00-00,"Rebuilding and Reconstruction after a disaster",Real Property,Construction/Contractors
DI-06-00-00-00,"Replacing Lost Documents after a disaster",Administrative Law,General (State)
DI-07-00-00-00,"Tax Relief after a disaster",Taxation,Personal Income
DI-07-01-00-00,"Deducting losses on damaged property after a natural disaser",Taxation,Personal Income
DI-08-00-00-00,"Public Health Emergency issues",General Litigation,Health Law/HIPAA
DI-09-00-00-00,"Family issues after a natural disaster",Family Law,Other
ED-00-00-00-00,"Education",Administrative Law,Student Rights
ED-01-00-00-00,"Adult continuing education",Administrative Law,Student Rights
ED-01-01-00-00,"Vocational education",Administrative Law,Student Rights
ED-02-00-00-00,"Public Benefits offered through schools",Administrative Law,Schools - Special Needs Edu. 
ED-02-01-00-00,"School breakfast and lunch programs",Administrative Law,Welfare
ED-02-02-00-00,"Head Start services for families",Administrative Law,Schools - Special Needs Edu. 
ED-02-03-00-00,"School clothing allowance program",Administrative Law,Welfare
ED-03-00-00-00,"Paying for education",Debtor/Creditor,Student Loans
ED-03-01-00-00,"Fees for educational programs",Administrative Law,Student Rights
ED-03-03-00-00,"Vouchers to pay for private education",Administrative Law,Student Rights
ED-04-00-00-00,"Discipline, expulsion, or suspension from school",Administrative Law,Student Rights
ED-04-01-00-00,"Expulsion from school",Administrative Law,Student Rights
ED-04-02-00-00,"Suspension from school",Administrative Law,Student Rights
ED-04-03-00-00,"Truancy and attendance",Criminal Law,Juvenile Offender
ED-05-00-00-00,"Discrimination and rights around education",General Litigation,Civil Rights
ED-05-01-00-00,"Desegregation of schools",General Litigation,Civil Rights
ED-05-02-00-00,"Exclusion of students from activities",Administrative Law,Student Rights
ED-05-05-00-00,"Discrimination based on sex/gender at a school (Title IX)",General Litigation,Civil Rights
ED-06-00-00-00,"Privacy at school",General Litigation,General Torts/Privacy
ED-07-00-00-00,"Students with disabilities and special education",Administrative Law,Schools - Special Needs Edu. 
ED-07-01-00-00,"Assistive technology for students with disabilities",Administrative Law,Schools - Special Needs Edu. 
ED-07-02-00-00,"Protections for students with disabilities",Administrative Law,Schools - Special Needs Edu. 
ED-07-02-01-00,"Rights of students with disabilities when facing discipline",Administrative Law,Schools - Special Needs Edu. 
ED-07-03-00-00,"Individual Education Plans (IEPs)",Administrative Law,Schools - Special Needs Edu. 
ED-08-00-00-00,"School residency or enrollment",Administrative Law,Student Rights
ED-09-00-00-00,"School standards, testing, and requirements",Administrative Law,Student Rights
ED-09-01-00-00,"School funding for quality education",Administrative Law,Student Rights
ED-10-00-00-00,"Language access to education",General Litigation,Civil Rights
ED-11-00-00-00,"Quality of education for student with disability",Administrative Law,Schools - Special Needs Edu. 
ED-12-00-00-00,"Students' Educational Records",Administrative Law,Student Rights
ED-13-00-00-00,"Education issues after a natural disaster",Administrative Law,Student Rights
EN-00-00-00-00,"Environmental Justice",Business & Corporate,Environment
EN-01-00-00-00,"Air Pollution",Business & Corporate,Environment
EN-02-00-00-00,"Environmental Protection",Business & Corporate,Environment
EN-03-00-00-00,"Hazardous Waste",Business & Corporate,Environment
EN-04-00-00-00,"Pesticides",Business & Corporate,Environment
EN-05-00-00-00,"Sustainable Agriculture",Business & Corporate,Agriculture/Farm
EN-06-00-00-00,"Water Pollution",Real Property,Water Law
EN-07-00-00-00,"Environmental issues after a natural disaster",Business & Corporate,Environment
ES-00-00-00-00,"Estates, Wills, and Guardianships",Wills & Trusts,"General (Wills, Trusts, Estates)"
ES-01-00-00-00,"Making a Will and Estate Plan",Wills & Trusts,"General (Wills, Trusts, Estates)"
ES-01-01-00-00,"Drafting and signing a will",Wills & Trusts,"General (Wills, Trusts, Estates)"
ES-01-02-00-00,"Updating a Will through a Codicil",Wills & Trusts,"General (Wills, Trusts, Estates)"
ES-01-03-00-00,"Distributing money through Payable-on-Death account",Wills & Trusts,"General (Wills, Trusts, Estates)"
ES-01-05-00-00,"Estate Planning for a beneficiary with a disability",Wills & Trusts,Special Needs/Inc. Cap Trusts
ES-02-00-00-00,"Dealing with another person's estate after they die",Wills & Trusts,Probate
ES-02-01-00-00,"Contesting a will",Wills & Trusts,Litigation
ES-02-02-00-00,"Dying without a will (intestate)",Wills & Trusts,Probate
ES-02-03-00-00,"Probate process for an uncontested will",Wills & Trusts,Probate
ES-02-04-00-00,"Going to Probate Court",Wills & Trusts,Probate
ES-02-05-00-00,"When an estate can avoid probate",Wills & Trusts,Probate
ES-02-06-00-00,"Being a 'beneficiary' to another's estate",Wills & Trusts,Probate
ES-03-00-00-00,"Guardianship and Conservatorship",Wills & Trusts,Conservatorship/Guardianship
ES-03-01-00-00,"Money and Property issues in a Guardianship or Conservatorship",Wills & Trusts,Conservatorship/Guardianship
ES-03-01-01-00,"Accountings for Funds Spent in a Guardianship or Conservatorship",Wills & Trusts,Conservatorship/Guardianship
ES-03-01-02-00,"Financial exploitation in a Guardianship or Conservatorship",Wills & Trusts,Elder Abuse
ES-03-01-03-00,"Joint Property issues in a guardianship/conservatorship",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-00-00,"Guardianship or Conservatorship of an Adult",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-01-00,"Getting a Conservatorship or Guardianship of an Adult",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-01-01,"Getting an Emergency Guardianship of an Adult",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-01-02,"Guardianship of a Mentally Ill Adult",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-02-00,"Guardian Ad Litem for vulnerable adults in housing cases",Wills & Trusts,Conservatorship/Guardianship
ES-03-02-03-00,"Conservatorship of an adult's financial affairs",Wills & Trusts,Conservatorship/Guardianship
ES-03-03-00-00,"Guardianship of a child (under 18)",Family Law,Guardianship(minor)
ES-03-03-01-00,"Guardian Ad Litem for child in family law cases",Family Law,Guardianship(minor)
ES-03-03-02-00,"Getting a Guardianship of a Child",Family Law,Guardianship(minor)
ES-03-03-03-00,"Guardianship of a child who has been abused or neglected",Family Law,Guardianship(minor)
ES-03-03-04-00,"Standby guardianship plan for a child",Family Law,Guardianship(minor)
ES-03-03-05-00,"Short-term Temporary Guardianship of a child",Family Law,Guardianship(minor)
ES-03-04-00-00,"Rights of Guardians and Conservators",Wills & Trusts,Conservatorship/Guardianship
ES-03-05-00-00,"Removal of a Guardian or Conservator",Wills & Trusts,Reversing Guardianship or Payee Assignments
ES-04-00-00-00,"Trusts",Wills & Trusts,Living Trusts
ES-04-01-00-00,"Living Trusts",Wills & Trusts,Living Trusts
ES-05-00-00-00,"Plans for if you are incapacitated or ill (Powers of Attorney and Advance Directives)",Wills & Trusts,Power of Attorney
ES-05-01-00-00,"Advance Directives about possible medical treatments",Wills & Trusts,Power of Attorney
ES-05-02-00-00,"Living Wills for when a person is terminally ill",Wills & Trusts,Power of Attorney
ES-05-03-00-00,"Powers of Attorney",Wills & Trusts,Power of Attorney
ES-05-04-00-00,"Options around Life-Sustaining Treatments",Wills & Trusts,Power of Attorney
ES-06-00-00-00,"Funeral and Burial Issues",Wills & Trusts,Other
ES-07-00-00-00,"Estate Planning for Military",Administrative Law,Military/Veterans
ES-07-01-00-00,"Benefits for service members after death",Administrative Law,Military/Veterans
FA-00-00-00-00,"Family",Family Law,Other
FA-01-00-00-00,"Adoption",Family Law,Adoption/DHS 
FA-01-01-00-00,"Adopting a Child",Family Law,Adoption/DHS 
FA-01-01-01-00,"Uncontested Adoption of a Child",Family Law,Adoption/DHS 
FA-01-01-02-00,"Contested Adoption of a Child",Family Law,Adoption/DHS 
FA-01-01-03-00,"Getting Time off Work for an Adoption",Labor & Employment,FMLA
FA-01-02-00-00,"Adopting an Adult",Family Law,Adoption/DHS 
FA-01-03-00-00,"Contesting an Adoption",Family Law,Adoption/DHS 
FA-01-04-00-00,"Birth Parents' Rights around an Adoption",Family Law,Adoption/DHS 
FA-01-05-00-00,"Grandparents' and other Family Members' Rights around an Adoption",Family Law,Grandparent Rights
FA-01-06-00-00,"Adoption of a Stepchild by a Stepparent",Family Law,Adoption/DHS 
FA-02-00-00-00,"Birth Certificates and Identity Documents",Family Law,Birth Certificate/Name Changes
FA-03-00-00-00,"Child Care Costs",Family Law,Child Support/Modification
FA-03-01-00-00,"Child Care support through TANF",Administrative Law,Welfare
FA-04-00-00-00,"Child Custody, Parenting Plans, and Visitation",Family Law,Child Custody/Visitation
FA-04-01-00-00,"Parental abduction or kidnapping of a child",Family Law,Child Custody/Visitation
FA-04-02-00-00,"Emergency Custody orders and hearings",Family Law,Child Custody/Visitation
FA-04-03-00-00,"Modifying a Custody Order",Family Law,Child Custody/Visitation
FA-04-03-01-00,"Modifying a custody order for a parent in recovery for substance abuse",Family Law,Child Custody/Visitation
FA-04-04-00-00,"Interstate Child Custody and Jurisdiction issues",Family Law,Child Custody/Visitation
FA-04-04-01-00,"Competing Jurisdictions for child custody cases",Family Law,Child Custody/Visitation
FA-04-04-02-00,"Emergency Jurisdiction for child custody",Family Law,Child Custody/Visitation
FA-04-05-00-00,"Enforcing a Child Custody order",Family Law,Child Custody/Visitation
FA-04-06-00-00,"Temporary Child Custody ",Family Law,Child Custody/Visitation
FA-04-07-00-00,"Child Visitation",Family Law,Child Custody/Visitation
FA-04-07-01-00,"Enforcing Child Visitation",Family Law,Child Custody/Visitation
FA-04-07-02-00,"Modifying a Child Visitation Order",Family Law,Child Custody/Visitation
FA-04-07-03-00,"Getting a Child Visitation Order",Family Law,Child Custody/Visitation
FA-04-07-04-00,"Third-Party Visitation of child",Family Law,Grandparent Rights
FA-04-07-05-00,"Supervised or Monitored visitation with a child",Family Law,Child Custody/Visitation
FA-04-08-00-00,"Third-Party Child Custody",Family Law,Child Custody/Visitation
FA-04-09-00-00,"Parenting Plans",Family Law,Child Custody/Visitation
FA-05-00-00-00,"Child Support",Family Law,Child Support/Modification
FA-05-01-00-00,"Enforcement of Child Support",Family Law,Child Support/Modification
FA-05-01-01-00,"Going to Child Support (IV-D) Court",Family Law,Child Support/Modification
FA-05-01-02-00,"Getting state support in enforcing child support",Family Law,Child Support/Modification
FA-05-01-04-00,"Intercepting tax refunds for child support",Taxation,Personal Income
FA-05-01-05-00,"Enforcing child support in different states",Family Law,Child Support/Modification
FA-05-02-00-00,"Petitions for Child Support",Family Law,Child Support/Modification
FA-05-03-00-00,"Private enforcement of child support",Family Law,Child Support/Modification
FA-05-04-00-00,"Modifying Child Support arrangement",Family Law,Child Support/Modification
FA-05-05-00-00,"Child Support Guidelines for calculation and enforcement",Family Law,Child Support/Modification
FA-05-06-00-00,"Other Custodial parent issues around child support",Family Law,Child Support/Modification
FA-05-07-00-00,"Other Non-custodial parent issues with child support",Family Law,Child Support/Modification
FA-05-08-00-00,"Being Behind on child support",Family Law,Child Support/Modification
FA-06-00-00-00,"Divorce, Separation, and Annulment",Family Law,"General (Divorce/Separation)"
FA-06-01-00-00,"Spousal Support, Alimony, and Separate Maintenance",Family Law,Spousal Support
FA-06-01-01-00,"Long-term Spousal Support",Family Law,Spousal Support
FA-06-01-02-00,"Lump Sum Spousal Support",Family Law,Spousal Support
FA-06-01-03-00,"Spousal Support from pensions and retirement plans (with a QDRO)",Family Law,QDROs
FA-06-01-04-00,"Short-Term or Temporary Spousal Support",Family Law,Spousal Support
FA-06-02-00-00,"Legal Separation of spouses",Family Law,"General (Divorce/Separation)"
FA-06-02-01-00,"Division of property among separated spouses",Family Law,"General (Divorce/Separation)"
FA-06-02-02-00,"Property Settlement agreements for separated spouses",Family Law,"General (Divorce/Separation)"
FA-06-03-00-00,"Divorce process and types",Family Law,"General (Divorce/Separation)"
FA-06-03-01-00,"Contested divorce process",Family Law,"General (Divorce/Separation)"
FA-06-03-02-00,"Uncontested Divorce process",Family Law,"General (Divorce/Separation)"
FA-06-03-03-00,"Subpoenas in a divorce process",Family Law,"General (Divorce/Separation)"
FA-06-03-04-00,"Taxes after divorce",Taxation,Personal Income
FA-06-03-04-01,"Child and spousal support's effect on taxes",Taxation,Personal Income
FA-06-03-05-00,"Filing motions after the final divorce decree",Family Law,"General (Divorce/Separation)"
FA-06-03-06-00,"Consolidating cases during a divorce",Family Law,"General (Divorce/Separation)"
FA-06-03-07-00,"Reopening a divorce for new evidence",Family Law,"General (Divorce/Separation)"
FA-06-03-08-00,"Stopping (or staying) a divorce process",Family Law,"General (Divorce/Separation)"
FA-06-03-09-00,"Venue of a divorce case",Family Law,"General (Divorce/Separation)"
FA-06-03-10-00,"Filing for divorce",Family Law,"General (Divorce/Separation)"
FA-06-03-11-00,"Responding to a divorce the other spouse filed",Family Law,"General (Divorce/Separation)"
FA-06-04-00-00,"Annulment of a marriage",Family Law,"General (Divorce/Separation)"
FA-06-05-00-00,"Dividing Property and Debt among spouses",Family Law,"General (Divorce/Separation)"
FA-06-05-01-00,"Property Settlement agreements among spouses",Family Law,"General (Divorce/Separation)"
FA-06-05-03-00,"Community Property laws for spouses",Family Law,"General (Divorce/Separation)"
FA-06-05-04-00,"Dividing Debt during a divorce",Debtor/Creditor,General (Debtor)
FA-06-05-05-00,"Dividing real estate property in a divorce ",Real Property,General (residential)
FA-06-05-07-00,"Dividing pensions and retirement accounts in a divorce",Family Law,QDROs
FA-06-05-08-00,"Marital vs. Non-Marital Property standards",Family Law,"General (Divorce/Separation)"
FA-06-05-09-00,"Equitable Distribution laws for spouses",Family Law,"General (Divorce/Separation)"
FA-06-05-10-00,"Re-opening or changing divorce property judgments",Family Law,"General (Divorce/Separation)"
FA-06-05-11-00,"Stopping a spouse from hiding or destroying assets",Family Law,"General (Divorce/Separation)"
FA-06-06-00-00,"Children's Issues during a divorce or separation",Family Law,Child Custody/Visitation
FA-06-06-01-00,"Best Interest of Child standard",Family Law,Child Custody/Visitation
FA-06-06-02-00,"Children-related divorce case management orders",Family Law,Child Custody/Visitation
FA-06-06-03-00,"Mediation for children's issues and parenting plans",Family Law,Collaborative Family Law
FA-06-06-05-00,"Parental Rights and Responsibilities during a divorce",Family Law,Parental Responsibility
FA-06-07-00-00,"Problems after a final divorce, separation, or annulment judgment",Family Law,"General (Divorce/Separation)"
FA-06-07-01-00,"Contempt of court for violating a family law order",Family Law,"General (Divorce/Separation)"
FA-06-07-01-01,"Consequences of being found in contempt of family law judgment",Family Law,"General (Divorce/Separation)"
FA-06-07-01-02,"Contempt for financial issues related to a family law judgment",Family Law,"General (Divorce/Separation)"
FA-06-07-01-03,"Contempt for children's issues related to a family law judgment",Family Law,Child Custody/Visitation
FA-06-07-02-00,"Enforcing a divorce or separation judgment",Family Law,"General (Divorce/Separation)"
FA-06-07-03-00,"Modifying a divorce or separation judgment",Family Law,"General (Divorce/Separation)"
FA-07-00-00-00,"Domestic Violence and Abuse",Family Law,Restraining Orders
FA-07-01-00-00,"Getting a restraining or protection order",Family Law,Restraining Orders
FA-07-01-01-00,"Initial filing for a protection order",Family Law,Restraining Orders
FA-07-01-02-00,"Modifying a protection order's complaint",Family Law,Restraining Orders
FA-07-01-03-00,"Modifying a temporary protection order",Family Law,Restraining Orders
FA-07-01-04-00,"Extending a protection order",Family Law,Restraining Orders
FA-07-01-05-00,"Modifying or ending a final protection order",Family Law,Restraining Orders
FA-07-01-06-00,"Getting a protection order for non-domestic abuse or threats",General Litigation,Stalking Orders
FA-07-02-00-00,"Employment issues around domestic violence",Labor & Employment,General
FA-07-03-00-00,"Custody issues around Domestic Violence",Family Law,Child Custody/Visitation
FA-07-04-00-00,"Financial Issues around Domestic Violence",Family Law,Other
FA-07-04-01-00,"Child Support and Domestic Violence",Family Law,Child Support/Modification
FA-07-04-02-00,"Damages and financial compensation for domestic violence",General Litigation,Personal Injury
FA-07-04-03-00,"Spousal Support and Domestic Violence",Family Law,Spousal Support
FA-07-04-04-00,"TANF Benefits exceptions for domestic violence victims",Administrative Law,Welfare
FA-07-05-00-00,"Domestic Violence issues during a public health emergency",Family Law,Restraining Orders
FA-07-06-00-00,"Drug and Alcohol Treatment related to Domestic Violence",Family Law,Restraining Orders
FA-07-07-00-00,"Defining what constitutes domestic violence and abuse",Family Law,Restraining Orders
FA-07-08-00-00,"Firearms and other Weapons and domestic violence",Criminal Law,Gun Rights
FA-07-09-00-00,"Enforcing a protection order",Family Law,Restraining Orders
FA-07-10-00-00,"Housing Discrimination and Domestic Violence",Real Property,Tenant (Residential)
FA-07-11-00-00,"Responding to a restraining order",Family Law,Restraining Orders
FA-08-00-00-00,"Emancipation of a minor",Family Law,Emancipation
FA-09-00-00-00,"Foster Care",Family Law,Adoption/DHS 
FA-10-00-00-00,"Marriages and civil unions",Family Law,Same Sex Couples & Parents
FA-10-01-00-00,"Common Law Marriage",Family Law,Other
FA-11-00-00-00,"Name or Gender Change",Family Law,Birth Certificate/Name Changes
FA-11-01-00-00,"Name Change of an Adult",Family Law,Birth Certificate/Name Changes
FA-11-02-00-00,"Name Change of a Child",Family Law,Birth Certificate/Name Changes
FA-11-03-00-00,"Gender Change of an Adult",Family Law,Birth Certificate/Name Changes
FA-11-04-00-00,"Gender Change of a Child",Family Law,Birth Certificate/Name Changes
FA-12-00-00-00,"Paternity",Family Law,Paternity
FA-12-01-00-00,"Acknowledging paternity",Family Law,Paternity
FA-12-02-00-00,"Blood Tests to determine paternity",Family Law,Paternity
FA-12-03-00-00,"Contested Paternity",Family Law,Paternity
FA-13-00-00-00,"Mediation and Alternative Dispute Resolution for family",Family Law,Collaborative Family Law
FA-14-00-00-00,"Parental Rights (and Termination)",Family Law,Terminate Parent Rights
FA-14-01-00-00,"Terminating Parental Rights",Family Law,Terminate Parent Rights
FA-14-02-00-00,"Teen Parents' Rights and Obligations",Family Law,Parental Responsibility
FA-14-03-00-00,"Child Abuse and Neglect",General Litigation,Child Abuse Victims
FA-14-03-01-00,"Sealing a record for child abuse or neglect",Criminal Law,Expunction
FA-15-00-00-00,"Elder Abuse",Wills & Trusts,Elder Abuse
FA-16-00-00-00,"Taking Care of Sick or Disabled Family",Labor & Employment,FMLA
FA-17-00-00-00,"Family members with money, criminal, and other issues",Family Law,Other
FA-18-00-00-00,"Financial exploitation of a person",Wills & Trusts,Elder Abuse
G0-01-01-00-00,"Firearms licenses",Criminal Law,Gun Rights
GO-00-00-00-00,"Government Services",Administrative Law,General (State)
GO-01-00-00-00,"Licenses for Driving, Business, Fishing, Guns, etc.",Administrative Law,Professional Licensing
GO-02-00-00-00,"Getting information and records from the government",Administrative Law,General (State)
GO-02-01-00-00,"Freedom of Information (FOIA) to request government info",Administrative Law,General (Federal)
GO-03-00-00-00,"Voting and Elections",General Litigation,Civil Rights
GO-03-01-00-00,"Voting Systems, Ballots, and Rules",General Litigation,Civil Rights
GO-03-02-00-00,"Districting and Gerrymandering",General Litigation,Civil Rights
GO-05-00-00-00,"Dealing with different branches of government",Administrative Law,General (State)
GO-05-01-00-00,"Dealing with federal agencies",Administrative Law,General (Federal)
GO-05-02-00-00,"Dealing with municipal government and ordinances",Administrative Law,General (Local/Municipal)
GO-05-03-00-00,"Dealing with state and local agencies",Administrative Law,General (State)
GO-05-04-00-00,"Dealing with state legislatures and courts",Administrative Law,General (State)
H0-06-06-01-00,"City regulations of renting a home",Real Property,Landlord Residential
H0-08-01-01-00,"Military Service-members' Protections against Foreclosure",Administrative Law,Military/Veterans
H0-09-01-00-00,"Liens on a Home",Real Property,General (residential)
H0-09-02-00-00,"Title to a home",Real Property,General (residential)
HE-00-00-00-00,"Health",General Litigation,Health Law/HIPAA
HE-01-00-00-00,"Care for a specific condition or disability",General Litigation,Health Law/HIPAA
HE-01-01-00-00,"Mental Health",Criminal Law,Mental Commitment
HE-01-01-01-00,"Commitment to a mental health facility",Criminal Law,Mental Commitment
HE-01-01-01-01,"Voluntary commitment to a mental health facility",Criminal Law,Mental Commitment
HE-01-01-01-02,"Involuntary Commitment to a mental health facility",Criminal Law,Mental Commitment
HE-01-01-01-03,"Rights when being committed to a mental health facility",Criminal Law,Mental Commitment
HE-01-01-03-00,"Community programs for mental health",General Litigation,Health Law/HIPAA
HE-01-01-04-00,"Least Restrictive Alternative Standard for mental health care",Criminal Law,Mental Commitment
HE-01-01-05-00,"Mental Health facilities and institutions",General Litigation,Health Law/HIPAA
HE-01-01-06-00,"Mental Health Advanced Directive planning",Wills & Trusts,Power of Attorney
HE-01-02-00-00,"HIV/AIDS care and rights",General Litigation,Health Law/HIPAA
HE-01-02-01-00,"Health care for those with HIV/AIDS",General Litigation,Health Law/HIPAA
HE-01-03-00-00,"Abortion care and rights",General Litigation,Health Law/HIPAA
HE-01-04-00-00,"Alcoholism and Substance Abuse",General Litigation,Health Law/HIPAA
HE-01-04-01-00,"Disability protections for substance use disorders",Labor & Employment,ADA (Disability) Act Issues
HE-01-05-00-00,"Birth Control and Sterlization",General Litigation,Health Law/HIPAA
HE-01-06-00-00,"Black Lung Disease (Pneumoconiosis) benefits",Workers' Comp,State
HE-01-07-00-00,"Breast and Cervical Cancer",General Litigation,Health Law/HIPAA
HE-01-08-00-00,"Counseling and social work needs",General Litigation,Health Law/HIPAA
HE-01-09-00-00,"Immunization and Vaccines",General Litigation,Health Law/HIPAA
HE-01-10-00-00,"Disability issues and rights",General Litigation,ADA
HE-01-10-01-00,"Health public benefits for a person with a disability",Administrative Law,Medicare/Medicaid
HE-01-10-01-01,"Medicaid coverage for a person with a disability",Administrative Law,Medicare/Medicaid
HE-01-10-01-02,"Medicare coverage for a person with a disability",Administrative Law,Medicare/Medicaid
HE-01-10-02-00,"Mental Health Disabilities",Criminal Law,Mental Commitment
HE-01-10-03-00,"Disability services and resources",General Litigation,ADA
HE-02-00-00-00,"Rights and discrimination around health care",General Litigation,Civil Rights
HE-02-01-00-00,"Language and cultural access to health care",General Litigation,Civil Rights
HE-02-02-00-00,"Discrimination or Refusal to Treat a person",General Litigation,Civil Rights
HE-02-03-00-00,"Duty to provide health care to low-income individuals",General Litigation,Health Law/HIPAA
HE-02-04-00-00,"Minority groups' access to health care",General Litigation,Civil Rights
HE-03-00-00-00,"Problems with medical or nursing home care",General Litigation,Malpractice-Medical
HE-03-01-00-00,"Quality of care in a nursing home",General Litigation,Malpractice-Medical
HE-03-02-00-00,"Complaining about medical services quality or cost",General Litigation,Malpractice-Medical
HE-04-00-00-00,"Nursing Home Care and Assisted Living",Wills & Trusts,Long-Term Care Issues
HE-04-01-00-00,"Discharge or transfer from a nursing home",Wills & Trusts,Long-Term Care Issues
HE-04-02-00-00,"Assisted Living or Board and Care homes",Wills & Trusts,Long-Term Care Issues
HE-04-04-00-00,"Licensing of nursing homes",Administrative Law,Professional Licensing
HE-05-00-00-00,"Medical Records and Privacy",General Litigation,Health Law/HIPAA
HE-06-00-00-00,"Health issues from living conditions",General Litigation,Premises Liability
HE-07-00-00-00,"Workers with health or disability issues",Labor & Employment,ADA (Disability) Act Issues
HE-07-01-00-00,"Disability Insurance coverage",General Litigation,Insurance (Health/Disability)
HO-00-00-00-00,"Housing",Real Property,General (residential)
HO-01-00-00-00,"Discrimination around housing",General Litigation,Civil Rights
HO-01-01-00-00,"Federal Protections against housing discrimination (Fair Housing Act)",General Litigation,Civil Rights
HO-01-02-00-00,"State protections against housing discrimination",General Litigation,Civil Rights
HO-01-03-00-00,"Local protections against housing discrimination",General Litigation,Civil Rights
HO-01-04-00-00,"Housing discrimination based on race",General Litigation,Civil Rights
HO-01-05-00-00,"Discriminatory housing lending (or Redlining)",Consumer Law,Mortgage Issues (non-foreclosure)
HO-01-06-00-00,"Housing discrimination based on disability",Real Property,LLTN – ADA issues/Animals/Accommodations
HO-01-07-00-00,"Housing discrimination based on national origin",General Litigation,Civil Rights
HO-01-08-00-00,"Housing Discrimination based on gender or sexuality",General Litigation,Civil Rights
HO-01-09-00-00,"Housing discrimination based on familial status (having children, being pregnant, or adopting)",General Litigation,Civil Rights
HO-01-10-00-00,"Housing discrimination based on religion",General Litigation,Civil Rights
HO-01-11-00-00,"Housing discrimination based on source of income/voucher subsidies",General Litigation,Civil Rights
HO-02-00-00-00,"Eviction from a home",Real Property,Tenant (Residential)
HO-02-01-00-00,"Eviction from a homeless shelter or group home",Real Property,Tenant (Residential)
HO-02-02-00-00,"Eviction from subsidized or public housing",Real Property,Tenant (Residential)
HO-02-02-01-00,"Eviction from a home subsidized by Rural Economic and Community Development",Real Property,Tenant (Residential)
HO-02-02-02-00,"Eviction from federally subsidized (Section 8) housing",Real Property,Tenant (Residential)
HO-02-02-03-00,"Eviction from public housing (with government landlord)",Real Property,Tenant (Residential)
HO-02-02-04-00,"One-Strike Eviction policies in public and subsidized housing",Real Property,Tenant (Residential)
HO-02-03-00-00,"Eviction from private rental housing (not public or subsidized)",Real Property,Tenant (Residential)
HO-02-03-02-00,"Going to court for Eviction and Landlord-Tenant issues",Real Property,Litigation
HO-02-03-02-01,"Being a defendant in an eviction lawsuit",Real Property,Litigation
HO-02-03-02-02,"Being a plaintiff in an eviction lawsuit",Real Property,Litigation
HO-02-03-02-03,"Requesting a Jury Trial in an eviction lawsuit",Real Property,Litigation
HO-02-03-02-04,"Appealing an eviction lawsuit's judgment",Real Property,Litigation
HO-02-03-02-05,"Nonpayment of Rent eviction case procedure",Real Property,Litigation
HO-02-03-02-06,"Holdover eviction cases",Real Property,Litigation
HO-02-03-02-07,"Canceling (or setting aside) an Eviction Order",Real Property,Litigation
HO-02-03-02-08,"Jurisdiction issues around an eviction case",Real Property,Litigation
HO-02-03-02-09,"Paying to dismiss an eviction case",Real Property,Litigation
HO-02-03-02-10,"Discovery Requests and Responses in eviction lawsuit",Real Property,Litigation
HO-02-03-02-11,"Preparing for an Eviction Trial",Real Property,Litigation
HO-02-03-02-12,"Settling an Eviction Lawsuit",Real Property,Litigation
HO-02-03-02-13,"Answering an Eviction Lawsuit",Real Property,Litigation
HO-02-03-02-14,"Going to small claims court for eviction-related case",Consumer Law,Small Claims Advice
HO-02-04-00-00,"Defenses to stop or delay an eviction",Real Property,Tenant (Residential)
HO-02-04-01-00,"Notice and Procedural defenses against an eviction",Real Property,Tenant (Residential)
HO-02-04-02-00,"Reasonable Accommodation for a disability defenses against an eviction",Real Property,LLTN – ADA issues/Animals/Accommodations
HO-02-04-03-00,"Living conditions (habitability) defenses against an eviction",Real Property,Tenant (Residential)
HO-02-04-04-00,"Military service-members' protections around eviction",Administrative Law,Military/Veterans
HO-02-04-05-00,"Title and ownership defenses against an eviction",Real Property,Tenant (Residential)
HO-02-04-06-00,"Retaliatory Eviction defenses against an eviction",Real Property,Tenant (Residential)
HO-02-05-00-00,"Tenants' rights and options after an eviction",Real Property,Tenant (Residential)
HO-02-06-00-00,"Expungement or Masking of an Eviction Record",Criminal Law,Expunction
HO-02-07-00-00,"Challenging a landlord for a 'constructive eviction'",Real Property,Tenant (Residential)
